Date,CSP1.L
2023-10-24,36481.0
2023-10-25,36305.0
2023-10-26,35913.0
2023-10-27,35679.0
2023-10-30,35703.5
2023-10-31,35982.0
2023-11-01,36360.0
2023-11-02,36927.0
2023-11-03,36922.0
2023-11-06,36870.0
2023-11-07,37265.0
2023-11-08,37230.0
2023-11-09,37378.0
2023-11-10,37533.0
2023-11-13,37659.0
2023-11-14,37757.0
2023-11-15,37970.0
2023-11-16,37877.0
2023-11-17,37959.0
2023-11-20,37997.0
2023-11-21,37874.0
2023-11-22,38274.0
2023-11-23,38105.0
2023-11-24,37866.0
2023-11-27,37826.0
2023-11-28,37711.0
2023-11-29,37657.5
2023-11-30,37660.0
2023-12-01,37855.0
2023-12-04,37791.0
2023-12-05,37972.0
2023-12-06,38010.0
2023-12-07,38119.5
2023-12-08,38354.0
2023-12-11,38443.0
2023-12-12,38666.0
2023-12-13,38936.0
2023-12-14,38742.0
2023-12-15,39003.0
2023-12-18,39256.0
2023-12-19,39152.0
2023-12-20,39465.0
2023-12-21,39196.0
2023-12-22,39125.0
2023-12-27,39154.0
2023-12-28,39398.0
2023-12-29,39392.5
2024-01-02,39417.0
2024-01-03,39102.0
2024-01-04,39019.0
2024-01-05,38753.0
2024-01-08,38823.0
2024-01-09,39204.0
2024-01-10,39271.0
2024-01-11,39171.0
2024-01-12,39315.0
2024-01-15,39368.5
2024-01-16,39540.0
2024-01-17,39303.0
2024-01-18,39371.0
2024-01-19,39765.0
2024-01-22,40070.0
2024-01-23,40147.5
2024-01-24,40299.0
2024-01-25,40444.0
2024-01-26,40445.0
2024-01-29,40500.0
2024-01-30,40799.0
2024-01-31,40304.0
2024-02-01,40180.0
2024-02-02,41073.0
2024-02-05,41325.0
2024-02-06,41255.0
2024-02-07,41454.0
2024-02-08,41515.0
2024-02-09,41641.0
2024-02-12,41923.0
2024-02-13,41381.0
2024-02-14,41612.0
2024-02-15,41806.0
2024-02-16,41956.0
2024-02-19,41799.5
2024-02-20,41319.0
2024-02-21,41345.0
2024-02-22,42098.0
2024-02-23,42206.5
2024-02-26,42122.0
2024-02-27,41945.0
2024-02-28,42131.5
2024-02-29,42253.0
2024-03-01,42551.0
