date,pair,A_ticker,A_price,B_ticker,B_price,fx_used,curA,curB,denom
2014-08-14,IWDA_AS_XDWD_DE,IWDA.AS,30.674999237060547,XDWD.DE,33.810001373291016,1.0,EUR,EUR,B
2014-08-17,IWDA_AS_XDWD_DE,IWDA.AS,31.100000381469727,XDWD.DE,34.2400016784668,1.0,EUR,EUR,B
2014-08-18,IWDA_AS_XDWD_DE,IWDA.AS,31.28499984741211,XDWD.DE,34.459999084472656,1.0,EUR,EUR,B
2014-08-19,IWDA_AS_XDWD_DE,IWDA.AS,31.3799991607666,XDWD.DE,34.56999969482422,1.0,EUR,EUR,B
2014-08-20,IWDA_AS_XDWD_DE,IWDA.AS,31.53499984741211,XDWD.DE,34.709999084472656,1.0,EUR,EUR,B
2014-08-21,IWDA_AS_XDWD_DE,IWDA.AS,31.559999465942383,XDWD.DE,34.75,1.0,EUR,EUR,B
2014-08-24,IWDA_AS_XDWD_DE,IWDA.AS,31.875,XDWD.DE,35.08000183105469,1.0,EUR,EUR,B
2014-08-25,IWDA_AS_XDWD_DE,IWDA.AS,31.915000915527344,XDWD.DE,35.13999938964844,1.0,EUR,EUR,B
2014-08-26,IWDA_AS_XDWD_DE,IWDA.AS,31.8799991607666,XDWD.DE,35.119998931884766,1.0,EUR,EUR,B
2014-08-27,IWDA_AS_XDWD_DE,IWDA.AS,31.809999465942383,XDWD.DE,34.90999984741211,1.0,EUR,EUR,B
2014-08-28,IWDA_AS_XDWD_DE,IWDA.AS,31.934999465942383,XDWD.DE,35.209999084472656,1.0,EUR,EUR,B
2014-08-31,IWDA_AS_XDWD_DE,IWDA.AS,32.01499938964844,XDWD.DE,35.29999923706055,1.0,EUR,EUR,B
2014-09-01,IWDA_AS_XDWD_DE,IWDA.AS,32.040000915527344,XDWD.DE,35.29999923706055,1.0,EUR,EUR,B
2014-09-02,IWDA_AS_XDWD_DE,IWDA.AS,32.099998474121094,XDWD.DE,35.349998474121094,1.0,EUR,EUR,B
2014-09-03,IWDA_AS_XDWD_DE,IWDA.AS,32.54999923706055,XDWD.DE,36.4900016784668,1.0,EUR,EUR,B
2014-09-04,IWDA_AS_XDWD_DE,IWDA.AS,32.36000061035156,XDWD.DE,35.650001525878906,1.0,EUR,EUR,B
2014-09-07,IWDA_AS_XDWD_DE,IWDA.AS,32.439998626708984,XDWD.DE,35.77000045776367,1.0,EUR,EUR,B
2014-09-08,IWDA_AS_XDWD_DE,IWDA.AS,32.345001220703125,XDWD.DE,35.630001068115234,1.0,EUR,EUR,B
2014-09-09,IWDA_AS_XDWD_DE,IWDA.AS,32.29499816894531,XDWD.DE,35.630001068115234,1.0,EUR,EUR,B
2014-09-10,IWDA_AS_XDWD_DE,IWDA.AS,32.26499938964844,XDWD.DE,35.529998779296875,1.0,EUR,EUR,B
2014-09-11,IWDA_AS_XDWD_DE,IWDA.AS,32.189998626708984,XDWD.DE,35.43000030517578,1.0,EUR,EUR,B
2014-09-14,IWDA_AS_XDWD_DE,IWDA.AS,32.06999969482422,XDWD.DE,35.31999969482422,1.0,EUR,EUR,B
2014-09-15,IWDA_AS_XDWD_DE,IWDA.AS,32.165000915527344,XDWD.DE,35.41999816894531,1.0,EUR,EUR,B
2014-09-16,IWDA_AS_XDWD_DE,IWDA.AS,32.220001220703125,XDWD.DE,35.470001220703125,1.0,EUR,EUR,B
2014-09-17,IWDA_AS_XDWD_DE,IWDA.AS,32.51499938964844,XDWD.DE,35.790000915527344,1.0,EUR,EUR,B
2014-09-18,IWDA_AS_XDWD_DE,IWDA.AS,32.65999984741211,XDWD.DE,35.970001220703125,1.0,EUR,EUR,B
2014-09-21,IWDA_AS_XDWD_DE,IWDA.AS,32.44499969482422,XDWD.DE,35.75,1.0,EUR,EUR,B
2014-09-22,IWDA_AS_XDWD_DE,IWDA.AS,32.185001373291016,XDWD.DE,35.470001220703125,1.0,EUR,EUR,B
2014-09-23,IWDA_AS_XDWD_DE,IWDA.AS,32.435001373291016,XDWD.DE,35.720001220703125,1.0,EUR,EUR,B
2014-09-24,IWDA_AS_XDWD_DE,IWDA.AS,32.23500061035156,XDWD.DE,35.52000045776367,1.0,EUR,EUR,B
2014-09-25,IWDA_AS_XDWD_DE,IWDA.AS,32.30500030517578,XDWD.DE,35.58000183105469,1.0,EUR,EUR,B
2014-09-28,IWDA_AS_XDWD_DE,IWDA.AS,32.29499816894531,XDWD.DE,35.599998474121094,1.0,EUR,EUR,B
