Price,SPY,IVV,spread_pct,signal
2023-10-03,410.969,412.349,-0.335,
2023-10-04,413.961,415.270,-0.315,
2023-10-05,413.805,415.075,-0.306,
2023-10-06,418.718,419.953,-0.294,
2023-10-09,421.399,422.717,-0.312,
2023-10-10,423.592,424.927,-0.314,
2023-10-11,425.328,426.729,-0.328,
2023-10-12,422.735,424.168,-0.338,
2023-10-13,420.629,421.939,-0.310,
2023-10-16,425.055,426.329,-0.299,
2023-10-17,425.035,426.456,-0.333,
2023-10-18,419.372,420.868,-0.356,
2023-10-19,415.687,417.052,-0.327,
2023-10-20,410.579,411.921,-0.326,
2023-10-23,409.867,411.201,-0.324,
2023-10-24,412.957,414.297,-0.323,
2023-10-25,407.031,408.407,-0.337,
2023-10-26,402.156,403.481,-0.328,
2023-10-27,400.334,401.631,-0.323,
2023-10-30,405.120,406.401,-0.315,
2023-10-31,407.664,408.825,-0.284,
2023-11-01,412.012,413.294,-0.310,
2023-11-02,419.908,421.257,-0.320,
2023-11-03,423.739,425.035,-0.305,
2023-11-06,424.714,426.057,-0.315,
2023-11-07,425.922,427.186,-0.296,
2023-11-08,426.234,427.537,-0.305,
2023-11-09,422.910,424.314,-0.331,
2023-11-10,429.510,430.954,-0.335,
2023-11-13,429.100,430.457,-0.315,
2023-11-14,437.425,438.898,-0.336,
2023-11-15,438.351,439.784,-0.326,
2023-11-16,438.887,440.329,-0.327,
2023-11-17,439.433,440.796,-0.309,
2023-11-20,442.816,444.340,-0.343,
2023-11-21,441.851,443.317,-0.331,
2023-11-22,443.557,445.002,-0.325,
2023-11-24,443.829,445.333,-0.338,
2023-11-27,443.030,444.505,-0.332,
2023-11-28,443.469,444.885,-0.318,
2023-11-29,443.157,444.680,-0.343,
2023-11-30,444.902,446.287,-0.310,
2023-12-01,447.534,448.925,-0.310,
2023-12-04,445.184,446.705,-0.340,
2023-12-05,445.097,446.608,-0.338,
2023-12-06,443.303,444.758,-0.327,
2023-12-07,446.686,448.175,-0.332,
2023-12-08,448.606,450.113,-0.335,
2023-12-11,450.351,451.865,-0.335,
2023-12-12,452.408,454.104,-0.374,
2023-12-13,458.647,460.325,-0.365,
2023-12-14,460.119,461.766,-0.357,
2023-12-15,459.361,460.987,-0.353,
2023-12-18,461.945,463.547,-0.346,
2023-12-19,464.754,466.225,-0.315,
2023-12-20,458.314,459.544,-0.268,
2023-12-21,462.659,464.206,-0.333,
2023-12-22,463.589,465.096,-0.324,
