date_asof,equity_eur,cum_pnl_eur,drawdown_eur,drawdown_pct
2025-05-02,9997.468357,-2.531643,-2.531643,-0.00025316
2025-05-04,9997.500004,-2.499996,-2.499996,-0.00025
2025-05-05,9997.307528,-2.692472,-2.692472,-0.00026925
2025-05-06,9997.714881,-2.285119,-2.285119,-0.00022851
2025-05-07,9997.391829,-2.608171,-2.608171,-0.00026082
2025-05-08,9997.614207,-2.385793,-2.385793,-0.00023858
2025-05-09,9997.499597,-2.500403,-2.500403,-0.00025004
2025-05-11,9997.499999,-2.500001,-2.500001,-0.00025
2025-05-12,9997.227422,-2.772578,-2.772578,-0.00027726
2025-05-13,9997.669587,-2.330413,-2.330413,-0.00023304
2025-05-14,9997.454681,-2.545319,-2.545319,-0.00025453
2025-05-15,9997.524753,-2.475247,-2.475247,-0.00024752
2025-05-16,9997.549785,-2.450215,-2.450215,-0.00024502
2025-05-18,9997.500001,-2.499999,-2.499999,-0.00025
2025-05-19,9997.549601,-2.450399,-2.450399,-0.00024504
2025-05-20,9997.138328,-2.861672,-2.861672,-0.00028617
2025-05-21,9997.879045,-2.120955,-2.120955,-0.0002121
2025-05-22,9997.108065,-2.891935,-2.891935,-0.00028919
2025-05-23,9997.742042,-2.257958,-2.257958,-0.0002258
2025-05-25,9997.500002,-2.499998,-2.499998,-0.00025
2025-05-26,9997.601069,-2.398931,-2.398931,-0.00023989
2025-05-27,9997.289089,-2.710911,-2.710911,-0.00027109
2025-05-28,9997.765209,-2.234791,-2.234791,-0.00022348
2025-05-29,9997.499999,-2.500001,-2.500001,-0.00025
2025-05-30,9997.687097,-2.312903,-2.312903,-0.00023129
2025-06-01,9997.500001,-2.499999,-2.499999,-0.00025
2025-11-06,9997.499999,-2.500001,-2.500001,-0.00025
2025-11-08,9997.499999,-2.500001,-2.500001,-0.00025
2026-01-22,9997.301139,-2.698861,-2.698861,-0.00026989
2026-01-25,9997.410966,-2.589034,-2.589034,-0.0002589
2026-01-26,9997.499999,-2.500001,-2.500001,-0.00025
