pair,fold,net_pnl_total,trades,hit_rate,reason
VWRL_L_VEVE_AS,1,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,2,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,3,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,4,-184.9596893186188,1,0.0,
VWRL_L_VEVE_AS,5,-190.99293505741392,1,0.0,
VWRL_L_VEVE_AS,6,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,7,0.0,0,0.0,SKIP_TOO_SHORT
VWRL_L_VEVE_AS,8,0.0,0,0.0,SKIP_MIN_TRADES_TEST
VWRL_L_VEVE_AS,9,0.0,0,0.0,SKIP_MIN_TRADES_TEST
SWDA_L_EUNL_DE,1,0.0,0,0.0,SKIP_MIN_TRADES_TEST
SWDA_L_EUNL_DE,2,0.0,0,0.0,SKIP_MIN_TRADES_TEST
SWDA_L_EUNL_DE,3,-1849.7786803151005,1,0.0,
SWDA_L_EUNL_DE,4,0.0,0,0.0,SKIP_TOO_SHORT
SWDA_L_EUNL_DE,5,-1040.5520260943988,1,0.0,
SWDA_L_EUNL_DE,6,-141.2218480164479,2,0.5,
SWDA_L_EUNL_DE,7,0.0,0,0.0,SKIP_TOO_SHORT
SWDA_L_EUNL_DE,8,1108.6009600609127,1,1.0,
SWDA_L_EUNL_DE,9,0.0,0,0.0,SKIP_MIN_TRADES_TEST
